,pred_Exams,pred_Fees,pred_General,pred_IT,pred_Timetable
true_Exams,28,0,0,0,0
true_Fees,0,41,1,1,0
true_General,3,0,35,0,2
true_IT,0,2,3,48,0
true_Timetable,3,0,0,1,32
